mmsi,geartype,valid_from,valid_to,shipname,flag,callsign,imo,tonnage,length,rfmo_id,rfmo_name,notes,CCAMLR_license_target_species_common_name,CCAMLR_licence_target_species ,CCAMLR_fishing_method
273341320,Longlines (not specified),1/13/2012,7/12/2015,Yantar 31,Russia,UBWE5,8916803,788,49.6,75757,CCAMLR,currently near Kamchatka,Patagonian Toothfish,Dissostichus spp,Bottom longline
273350850,Longlines (not specified),8/19/2012,7/12/2015,Yantar 35,Russia,UBH18,9261504,660,58.2,77359,CCAMLR,,Patagonian Toothfish,Dissostichus spp,Bottom longline
224623000,Longlines (not specified),1/11/2012,2/20/2015,Tronio,Spain,ECJF,9361603,1058,55,75760,CCAMLR,reflagged to Falklands callsign ZDLS2 mmsi 740382000,Patagonian Toothfish,Dissostichus spp,Spanish longline
272208000,Other trawls (not specified),1/27/2012,7/10/2015,More Sodruzhestva,Ukraine,UYDV,8724315,6394,103.1,77419,CCAMLR,,Krill,Euphausia superba,Conventional pelagic (beam) trawl
272364000,Longlines (not specified),1/1/2012,7/12/2015,Simeiz,Ukraine,URBX,9247912,871,55.46,77417,CCAMLR,,Patagonian Toothfish,Dissostichus spp,Spanish bottom longline
665111119,Longlines (not specified),1/13/2012,7/12/2015,Argos Froyanes,United Kingdom,ZHHL,9249398,1352,52.55,75762,CCAMLR,flagged to St. Helena (UK territory),Patagonian Toothfish,Dissostichus spp,Bottom autoline
665111117,Longlines (not specified),1/11/2012,7/12/2015,Argos Georgia,United Kingdom,ZHHJ,9171319,897,46.58,75763,CCAMLR,flagged to St. Helena (UK territory),Patagonian Toothfish,Dissostichus spp,Bottom autoline
740372000,Other trawls (not specified),1/5/2012,7/12/2015,New Polar,United Kingdom,ZDLF2,8704779,1794,74.5,75764,CCAMLR,flagged to Falklands (UK territory),Mackerel Icefish,Champsocephalus gunnari,Stern trawl
740382000,Longlines (not specified),4/13/2015,7/12/2015,Tronio,United Kingdom,ZDLS2,9361603,1058,55,75760,CCAMLR,"previously Spanish flagged, only appear with this mmsi in recent ShipView AIS",Patagonian Toothfish,Dissostichus eleginoides,Spanish longline
770576321,Longlines (not specified),6/10/2014,7/12/2015,Rambla,Uruguay,CXSB,9024621,852,50,84349,CCAMLR,,Patagonian Toothfish,Dissostichus eleginoides,Spanish bottom longline
